✔ Created output directory: models
Training pipeline: ['ner']
Starting with blank model 'en'
Loading vector from model 'en_core_web_sm'
Counting training words (limit=0)

Itn  NER Loss   NER P   NER R   NER F   Token %  CPU WPS
---  ---------  ------  ------  ------  -------  -------
  1   3877.683  87.407  79.195  83.099  100.000    16103
  2    961.141  90.000  84.564  87.197  100.000    12383
  3    615.569  89.333  89.933  89.632  100.000    11763
  4    465.276  91.892  91.275  91.582  100.000    15258
  5    366.833  89.474  91.275  90.365  100.000    16229
  6    320.138  91.892  91.275  91.582  100.000     8827
  7    265.503  91.333  91.946  91.639  100.000    15136
  8    195.748  91.892  91.275  91.582  100.000    12667
  9    179.636  90.000  90.604  90.301  100.000    16942
 10    160.878  92.414  89.933  91.156  100.000    12368
 11    129.259  93.103  90.604  91.837  100.000    12421
 12    114.462  91.724  89.262  90.476  100.000    15476
 13    121.566  92.254  87.919  90.034  100.000     9500
 14    106.616  91.667  88.591  90.102  100.000     6915
 15    107.246  92.254  87.919  90.034  100.000    15479
 16     70.138  93.617  88.591  91.034  100.000    14465
 17     69.155  92.806  86.577  89.583  100.000     8445
 18     54.156  93.571  87.919  90.657  100.000    10166
 19     57.462  93.617  88.591  91.034  100.000    15126
 20     53.677  93.617  88.591  91.034  100.000     6000
 21     51.884  93.617  88.591  91.034  100.000     8518
 22     50.361  93.617  88.591  91.034  100.000    15402
 23     56.591  93.662  89.262  91.409  100.000     8845
 24     44.605  93.662  89.262  91.409  100.000     9635
 25     45.688  94.245  87.919  90.972  100.000    15459
 26     41.710  94.245  87.919  90.972  100.000    15429
 27     62.499  94.245  87.919  90.972  100.000    15271
 28     48.949  94.203  87.248  90.592  100.000    14708
 29     41.650  94.203  87.248  90.592  100.000     5597
 30     34.011  94.203  87.248  90.592  100.000    13375
